date,rev,workload,vm_ms_median,vm_ms_min,vm_iqr_pct,gst_ms_median,ratio_vm_over_gst,flags
2026-07-02T14:17:56Z,a8e03ae,send_loop,47.0,46.0,1.1,9.0,5.22,
2026-07-02T14:18:05Z,a8e03ae,send_loop,46.0,46.0,1.1,9.0,5.11,
2026-07-02T14:18:05Z,a8e03ae,arith_loop,61.0,61.0,3.3,11.0,5.55,
2026-07-02T14:18:05Z,a8e03ae,block_value,49.0,47.0,7.1,10.0,4.90,noisy
2026-07-02T14:18:05Z,a8e03ae,ordered_collection,25.0,24.0,6.0,10.0,2.50,noisy
2026-07-02T14:18:05Z,a8e03ae,dictionary,416.0,409.0,3.2,5.0,83.20,
2026-07-02T14:18:05Z,a8e03ae,string_build,123.0,123.0,0.4,15.0,8.20,
2026-07-02T14:18:05Z,a8e03ae,exceptions,12.0,11.0,8.3,73.0,0.16,noisy
2026-07-02T14:18:05Z,a8e03ae,process_pingpong,5.0,5.0,0.0,3.0,1.67,
2026-07-02T14:18:05Z,a8e03ae,self_compile,2552.0,2536.0,1.1,530.0,4.82,
2026-07-02T14:23:57Z,a8e03ae,send_loop,41.0,40.0,2.4,9.0,4.56,
2026-07-02T14:23:57Z,a8e03ae,arith_loop,53.0,52.0,1.9,11.0,4.82,
2026-07-02T14:23:57Z,a8e03ae,block_value,44.0,43.0,21.6,9.0,4.89,noisy
2026-07-02T14:23:57Z,a8e03ae,ordered_collection,22.0,22.0,4.5,10.0,2.20,
2026-07-02T14:23:57Z,a8e03ae,dictionary,374.0,368.0,2.0,5.0,74.80,
2026-07-02T14:23:57Z,a8e03ae,string_build,112.0,109.0,2.2,15.0,7.47,
2026-07-02T14:23:57Z,a8e03ae,exceptions,11.0,10.0,4.5,73.0,0.15,
2026-07-02T14:23:57Z,a8e03ae,process_pingpong,5.0,5.0,0.0,3.0,1.67,
2026-07-02T14:23:57Z,a8e03ae,self_compile,2260.0,2248.0,0.7,517.0,4.37,
2026-07-02T14:40:31Z,6981624,self_compile,1191.0,1187.0,1.7,438.0,2.72,
2026-07-02T14:40:31Z,6981624,string_build,109.0,106.0,3.2,15.0,7.27,
2026-07-02T14:40:31Z,6981624,dictionary,372.0,363.0,2.7,5.0,74.40,
